,level_0,Unnamed: 0,index,time_stamp,user_id,grade,pre_score,adjusted_improvement,anxiety,complete,user_message,chatbot_message,hint_id,action,positive_feedback,stage,pos,neg,help,failed_attempts,reward,model_name,index,p_hint,p_nothing,p_encourage,p_question,model_round
0,1,109,108,2020-11-07 18:41:18.927465+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,im stuck,"If we put our minds together, we can figure this problem out!",77,encourage,,-0.6666666666666666,-1.0,0.3340000000000001,1.0,0.4,0.0,model-11-07-2020-15:00:06-PST-1.meta,0,0.012,0.552,0.422,0.014,0
1,2,110,109,2020-11-07 18:42:10.867434+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,wats the anser,Hm... let's keep thinking!,88,question,,-0.6666666666666666,-1.0,-1.0,-0.1381043642849782,0.4,0.0,model-11-07-2020-15:00:06-PST-1.meta,1,0.109,0.32,0.55,0.021,0
2,3,111,110,2020-11-07 18:42:49.972410+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,wats the anser,You can move your mouse close to the box to turn it into a chocolate!,37,hint,True,-0.6666666666666666,-1.0,-1.0,-0.1381043642849782,0.4,0.11,model-11-07-2020-15:00:06-PST-1.meta,2,0.109,0.32,0.55,0.021,0
3,4,112,111,2020-11-07 18:44:19.068008+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,wats the anser!!!!,"The sooner we finish, the sooner we can cross the river on that boat! Let’s get to it!",86,encourage,,-0.6666666666666666,-1.0,-1.0,-0.1381043642849782,0.4,0.0,model-11-07-2020-15:00:06-PST-1.meta,3,0.109,0.32,0.55,0.021,0
4,5,113,112,2020-11-07 18:46:15.371696+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,wats the anser!!!!!!!!,"If we put our minds together, we can figure this problem out!",77,encourage,,-0.6666666666666666,-1.0,-1.0,-0.1381043642849782,0.5,0.0,model-11-07-2020-15:00:06-PST-1.meta,4,0.093,0.34,0.548,0.019,0
5,6,114,113,2020-11-07 18:46:29.217126+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,o        k,We need to solve this problem to stop the natural disaster. I believe in you!,80,encourage,,-0.6666666666666666,-1.0,-1.0,-0.2654948962163032,0.5,0.0,model-11-07-2020-15:00:06-PST-1.meta,5,0.119,0.315,0.545,0.021,0
6,7,115,114,2020-11-07 18:48:38.627707+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,ya,You’re almost there. Just keep trying!,71,encourage,,-0.6666666666666666,-1.0,-1.0,-0.26215982539467464,0.6,0.0,model-11-07-2020-15:00:06-PST-1.meta,6,0.106,0.331,0.544,0.019,0
7,8,116,115,2020-11-07 18:48:51.081869+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,ok,"The sooner we finish, the sooner we can cross the river on that boat! Let’s get to it!",86,encourage,,-0.6666666666666666,1.0,-1.0,-0.10634730232532263,0.6,0.0,model-11-07-2020-15:00:06-PST-1.meta,7,0.04,0.232,0.681,0.047,0
8,9,117,116,2020-11-07 18:53:25.192633+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,i need a hint,You’re doing a great job so far. Just keep trying!,74,encourage,,-0.6666666666666666,-1.0,-1.0,1.0,1.1,0.0,model-11-07-2020-15:00:06-PST-1.meta,8,0.008,0.493,0.487,0.012,0
9,10,118,117,2020-11-07 18:55:50.239193+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,i need a hint,I love a good challenge. Let’s regroup and think about this some more.,82,encourage,,-0.6666666666666666,-1.0,-1.0,1.0,1.5,0.0,model-11-07-2020-15:00:06-PST-1.meta,9,0.006,0.501,0.481,0.012,0
10,11,119,118,2020-11-07 18:56:16.985982+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,i need a hint,"This problem is tough, but I know that we can finish it if we think hard enough. Keep trying!",79,encourage,,-0.6666666666666666,-1.0,-1.0,1.0,1.5,0.0,model-11-07-2020-15:00:06-PST-1.meta,10,0.006,0.501,0.481,0.012,0
11,12,120,119,2020-11-07 19:06:51.473088+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,i need help,I’m so glad you’re here to help. I know you can solve this problem!,84,encourage,,-0.6666666666666666,0.46,-1.0,1.0,2.5,0.0,model-11-07-2020-15:00:06-PST-1.meta,11,0.006,0.485,0.495,0.014,0
12,13,121,127,2020-11-07 19:07:49.860993+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,no i cant,:),51,nothing,,-0.6666666666666666,-1.0,0.3759999999999999,-0.03631975872291016,2.5,0.0,model-11-07-2020-15:00:06-PST-1.meta,12,0.014,0.648,0.326,0.012,0
13,24,132,120,2020-11-07 19:14:34.283846+00:00,161,-1.0,-0.75,0,-0.6666666666666666,False,What is the answer?,:),51,nothing,True,0.0,-1.0,-1.0,1.0,-0.2,0.1,model-11-07-2020-15:00:06-PST-1.meta,13,0.115,0.313,0.546,0.026,0
14,25,133,121,2020-11-07 19:15:01.869849+00:00,161,-1.0,-0.75,0,-0.6666666666666666,False,Is it 10?,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",24,hint,,0.0,-1.0,-1.0,-0.057269703289677176,-0.2,-8.0,model-11-07-2020-15:00:06-PST-1.meta,14,0.578,0.117,0.278,0.027,0
15,14,122,122,2020-11-07 19:19:04.486772+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,spoil it,"You’ve just about got it. Don’t give up, yet!",81,encourage,,-0.6666666666666666,-1.0,-1.0,-0.057269703289677176,3.5,0.0,model-11-07-2020-15:00:06-PST-1.meta,15,0.011,0.528,0.449,0.012,0
16,15,123,123,2020-11-07 19:19:23.090272+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,do it,:),51,nothing,,-0.6666666666666666,-1.0,-1.0,1.0,3.5,0.0,model-11-07-2020-15:00:06-PST-1.meta,16,0.006,0.517,0.463,0.014,0
17,16,124,128,2020-11-07 19:19:35.396751+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,hihghujkjhgfgghjkhvgfghjnmbgfrtghnbgftgh,You’re super close! Let’s think about this a little more and try again.,75,encourage,,-0.6666666666666666,-1.0,-1.0,-1.0,3.5,0.0,model-11-07-2020-15:00:06-PST-1.meta,17,0.034,0.554,0.4,0.012,0
18,17,125,124,2020-11-07 19:20:58.303149+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,i cant do it!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,We need to solve this problem to stop the natural disaster. I believe in you!,80,encourage,,-0.6666666666666666,-1.0,-1.0,1.0,3.6,0.0,model-11-07-2020-15:00:06-PST-1.meta,18,0.006,0.517,0.463,0.014,0
19,18,126,129,2020-11-07 19:21:29.755058+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,tell me the anser,:),51,nothing,,-0.6666666666666666,-1.0,-1.0,-0.02340921417868025,3.6,0.0,model-11-07-2020-15:00:06-PST-1.meta,19,0.011,0.528,0.449,0.012,0
20,19,127,125,2020-11-07 19:22:12.252583+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,dont do it one more time,Hm... let's keep thinking!,88,question,,-0.6666666666666666,-1.0,-1.0,1.0,3.6,0.0,model-11-07-2020-15:00:06-PST-1.meta,20,0.006,0.517,0.463,0.014,0
21,20,128,126,2020-11-07 19:22:25.388401+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,ok!,You’re doing awesome! We’re so close to figuring this out and convincing the captain to let us board the boat.,72,encourage,,-0.6666666666666666,1.0,-1.0,-0.10634730232532263,3.6,0.0,model-11-07-2020-15:00:06-PST-1.meta,21,0.006,0.505,0.47,0.019,0
22,21,129,130,2020-11-07 19:33:23.274367+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,are you goinn to help me,You’re almost there. Just keep trying!,71,encourage,,-0.6666666666666666,-0.29799999999999993,-1.0,1.0,5.2,0.0,model-11-07-2020-15:00:06-PST-1.meta,22,0.006,0.517,0.462,0.015,0
23,26,134,131,2020-11-07 19:46:22.565287+00:00,162,0.0,0.75,0,-0.8333333333333334,True,"Thankyou Betty,",You can move your mouse close to the box to turn it into a chocolate!,37,hint,,-0.6666666666666666,-1.0,-1.0,-0.3371667823085999,-1.0,0.01,model-11-07-2020-15:00:06-PST-1.meta,23,0.572,0.135,0.203,0.09,0
24,27,135,132,2020-11-07 19:52:53.240889+00:00,162,0.0,0.75,0,-0.8333333333333334,True,i am doing math now,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",24,hint,,0.0,-1.0,-1.0,-0.03631975872291016,-1.0,0.01,model-11-07-2020-15:00:06-PST-1.meta,24,0.726,0.093,0.096,0.085,0
25,28,136,133,2020-11-07 19:53:11.604545+00:00,162,0.0,0.75,0,-0.8333333333333334,True,thanks,Hm… I suggest thinking about the concept of a unit cube and the volume of a unit cube. It may remind you of what you need in order to calculate the volume of the box!,65,question,,0.0,1.0,-1.0,-0.1528205347590037,-1.0,0.0,model-11-07-2020-15:00:06-PST-1.meta,25,0.313,0.086,0.175,0.426,0
26,29,137,134,2020-11-07 19:55:36.956604+00:00,162,0.0,0.75,0,-0.8333333333333334,True,Betty I need help,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",38,hint,True,0.3333333333333333,0.1479999999999999,-1.0,1.0,-1.0,0.071,model-11-07-2020-15:00:06-PST-1.meta,26,0.223,0.245,0.31,0.222,0
27,22,130,135,2020-11-07 20:10:08.146784+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,i dont now the anser,:),51,nothing,True,-0.6666666666666666,-1.0,-1.0,1.0,5.2,0.1,model-11-07-2020-15:00:06-PST-1.meta,27,0.006,0.533,0.446,0.015,0
28,23,131,136,2020-11-07 20:11:07.118036+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,i give up,:),51,nothing,,-0.6666666666666666,-1.0,-1.0,-0.03631975872291016,5.4,-8.0,model-11-07-2020-15:00:06-PST-1.meta,28,0.012,0.564,0.41,0.014,0
29,40,148,137,2020-11-07 21:50:39.141696+00:00,179,1.0,0.25,2,-0.3333333333333333,True,i need a hint,"If we put our minds together, we can figure this problem out!",77,encourage,True,-1.0,-1.0,-1.0,1.0,-0.8,0.1,model-11-07-2020-15:00:06-PST-1.meta,29,0.067,0.403,0.493,0.037,0
30,41,149,138,2020-11-07 21:51:01.799853+00:00,179,1.0,0.25,2,-0.3333333333333333,True,help,The people in the village need you! Keep working hard.,85,encourage,True,-1.0,1.0,-1.0,1.0,-0.8,0.1,model-11-07-2020-15:00:06-PST-1.meta,30,0.066,0.25,0.538,0.146,0
31,42,150,141,2020-11-07 21:52:00.471162+00:00,179,1.0,0.25,2,-0.3333333333333333,True,help,I love a good challenge. Let’s regroup and think about this some more.,82,encourage,,-1.0,1.0,-1.0,1.0,-0.4,0.0,model-11-07-2020-15:00:06-PST-1.meta,31,0.047,0.326,0.515,0.112,0
32,43,151,139,2020-11-07 21:52:09.198110+00:00,179,1.0,0.25,2,-0.3333333333333333,True,help,:),51,nothing,,-1.0,1.0,-1.0,1.0,-0.4,0.0,model-11-07-2020-15:00:06-PST-1.meta,32,0.047,0.326,0.515,0.112,0
33,44,152,140,2020-11-07 21:52:38.012269+00:00,179,1.0,0.25,2,-0.3333333333333333,True,help,You can move your mouse close to the box to turn it into a chocolate!,40,hint,,-1.0,1.0,-1.0,1.0,-0.3,1.9969999999999999,model-11-07-2020-15:00:06-PST-1.meta,33,0.042,0.342,0.513,0.103,0
34,33,141,142,2020-11-07 22:34:22.593888+00:00,168,1.0,-0.5,5,-0.5555555555555556,True,I need help,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",24,hint,True,0.0,0.46,-1.0,1.0,-0.9,5.0969999999999995,model-11-07-2020-15:00:06-PST-1.meta,34,0.474,0.063,0.377,0.086,0
35,30,138,144,2020-11-08 19:00:22.271967+00:00,163,-1.0,-0.25,1,-0.9444444444444444,True,HELP!,You’re super close! Let’s think about this a little more and try again.,75,encourage,,0.0,1.0,-1.0,1.0,-0.6,0.0,model-11-08-2020-17:52:18-PST-2.meta,35,0.08,0.219,0.617,0.084,1
36,31,139,145,2020-11-08 19:02:39.200090+00:00,163,-1.0,-0.25,1,-0.9444444444444444,True,You are not helpful.,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",24,hint,,0.0,-1.0,-0.1259999999999999,1.0,-0.4,0.01,model-11-08-2020-17:52:18-PST-2.meta,36,0.084,0.492,0.402,0.022,1
37,32,140,143,2020-11-08 19:04:47.656516+00:00,163,-1.0,-0.25,1,-0.9444444444444444,True,grrrrr,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",38,hint,,0.3333333333333333,-1.0,-1.0,-1.0,-1.0,0.9840000000000001,model-11-08-2020-17:52:18-PST-2.meta,37,0.9,0.014,0.064,0.022,1
38,45,153,146,2020-11-08 20:09:42.329346+00:00,181,0.0,0.75,1,-0.9444444444444444,True,Need help,:),51,nothing,True,-1.0,0.46,-1.0,1.0,-0.8,0.1,model-11-08-2020-19:05:51-PST-0.meta,38,0.047,0.387,0.498,0.068,1
39,46,154,147,2020-11-08 20:09:59.742879+00:00,181,0.0,0.75,1,-0.9444444444444444,True,I need help,You’re doing a great job so far. Just keep trying!,74,encourage,,-1.0,0.46,-1.0,1.0,-0.8,0.0,model-11-08-2020-19:05:51-PST-0.meta,39,0.047,0.387,0.498,0.068,1
40,47,155,148,2020-11-08 20:12:22.969861+00:00,181,0.0,0.75,1,-0.9444444444444444,True,Help,You can move your mouse close to the box to turn it into a chocolate!,21,hint,,-0.3333333333333333,1.0,-1.0,1.0,-0.5,0.01,model-11-08-2020-19:05:51-PST-0.meta,40,0.065,0.364,0.405,0.166,1
41,48,156,149,2020-11-08 20:12:37.256283+00:00,181,0.0,0.75,1,-0.9444444444444444,True,I don't get it,:),51,nothing,,-0.3333333333333333,-1.0,-1.0,1.0,-0.5,0.0,model-11-08-2020-19:05:51-PST-0.meta,41,0.075,0.545,0.342,0.038,1
42,49,157,150,2020-11-08 20:13:52.591361+00:00,181,0.0,0.75,1,-0.9444444444444444,True,HELP,"You’re doing a great job. If we keep working like this, we’ll be done in no time!",83,encourage,,-0.3333333333333333,1.0,-1.0,1.0,-0.3,0.0,model-11-08-2020-19:05:51-PST-0.meta,42,0.056,0.406,0.395,0.143,1
43,50,158,151,2020-11-08 20:14:08.934465+00:00,181,0.0,0.75,1,-0.9444444444444444,True,How to measure length,:),51,nothing,,-0.3333333333333333,-1.0,-1.0,1.0,-0.3,0.987,model-11-08-2020-19:05:51-PST-0.meta,43,0.056,0.589,0.323,0.032,1
44,34,142,152,2020-11-08 21:15:58.982501+00:00,171,0.0,-1.0,5,-0.3888888888888889,True,What is the length?,I’m so glad you’re here to help. I know you can solve this problem!,84,encourage,True,-0.3333333333333333,-1.0,-1.0,1.0,-1.0,0.1,model-11-08-2020-20:49:45-PST-0.meta,44,0.216,0.177,0.588,0.019,1
45,35,143,153,2020-11-08 21:18:14.031761+00:00,171,0.0,-1.0,5,-0.3888888888888889,True,Can I have a hint?,We need to solve this problem to stop the natural disaster. I believe in you!,80,encourage,True,0.0,-1.0,-1.0,1.0,-1.0,5.1,model-11-08-2020-20:49:45-PST-0.meta,45,0.375,0.12,0.482,0.023,1
46,71,179,154,2020-11-08 22:07:01.829500+00:00,196,1.0,1.0,0,0.05555555555555555,True,Hey Buster,You can move your mouse close to the box to turn it into a chocolate!,21,hint,,-0.3333333333333333,-1.0,-1.0,-0.15457959970447974,-0.9,0.01,model-11-08-2020-20:49:45-PST-0.meta,46,0.682,0.114,0.074,0.13,1
47,72,180,155,2020-11-08 22:07:17.667283+00:00,196,1.0,1.0,0,0.05555555555555555,True,I need help on finding the length,Hm... let's keep thinking!,88,question,,-0.3333333333333333,-0.29799999999999993,-1.0,1.0,-0.9,-0.013,model-11-08-2020-20:49:45-PST-0.meta,47,0.125,0.425,0.284,0.166,1
48,36,144,156,2020-11-08 22:32:09.731887+00:00,174,1.0,1.0,0,-0.8888888888888888,True,we do 90x2,:),51,nothing,,0.3333333333333333,-1.0,-1.0,1.0,-1.0,0.0,model-11-08-2020-20:49:45-PST-0.meta,48,0.568,0.227,0.112,0.093,1
49,37,145,159,2020-11-09 00:27:44.175061+00:00,177,-1.0,0.0,0,-0.05555555555555555,True,uh do you know what 3*5*6=?,:),51,nothing,True,0.0,-1.0,-1.0,1.0,-0.9,0.1,model-11-08-2020-20:49:45-PST-0.meta,49,0.089,0.4,0.461,0.05,1
