,index,time_stamp,user_id,grade,pre_score,adjusted_improvement,anxiety,complete,user_message,chatbot_message,hint_id,action,positive_feedback,stage,pos,neg,help,failed_attempts,reward,model_name
74,551,2020-11-27 17:52:58.141303+00:00,104,0.0,0.25,3,-0.7777777777777778,True,yes i am still here i dont need help at the moment ,You can move your mouse close to the box to turn it into a chocolate!,40,hint,,-1.0,-0.584,-0.652,1.0,-0.9,2.997,model-11-27-2020-16:45:05-PST-18.meta
109,108,2020-11-07 18:41:18.927465+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,im stuck,"If we put our minds together, we can figure this problem out!",77,encourage,,-0.6666666666666666,-1.0,0.3340000000000001,1.0,0.4,0.0,model-11-07-2020-15:00:06-PST-1.meta
110,109,2020-11-07 18:42:10.867434+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,wats the anser,Hm... let's keep thinking!,88,question,,-0.6666666666666666,-1.0,-1.0,-0.1381043642849782,0.4,0.0,model-11-07-2020-15:00:06-PST-1.meta
111,110,2020-11-07 18:42:49.972410+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,wats the anser,You can move your mouse close to the box to turn it into a chocolate!,37,hint,True,-0.6666666666666666,-1.0,-1.0,-0.1381043642849782,0.4,0.11,model-11-07-2020-15:00:06-PST-1.meta
112,111,2020-11-07 18:44:19.068008+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,wats the anser!!!!,"The sooner we finish, the sooner we can cross the river on that boat! Let’s get to it!",86,encourage,,-0.6666666666666666,-1.0,-1.0,-0.1381043642849782,0.4,0.0,model-11-07-2020-15:00:06-PST-1.meta
113,112,2020-11-07 18:46:15.371696+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,wats the anser!!!!!!!!,"If we put our minds together, we can figure this problem out!",77,encourage,,-0.6666666666666666,-1.0,-1.0,-0.1381043642849782,0.5,0.0,model-11-07-2020-15:00:06-PST-1.meta
114,113,2020-11-07 18:46:29.217126+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,o        k,We need to solve this problem to stop the natural disaster. I believe in you!,80,encourage,,-0.6666666666666666,-1.0,-1.0,-0.2654948962163032,0.5,0.0,model-11-07-2020-15:00:06-PST-1.meta
115,114,2020-11-07 18:48:38.627707+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,ya,You’re almost there. Just keep trying!,71,encourage,,-0.6666666666666666,-1.0,-1.0,-0.26215982539467464,0.6,0.0,model-11-07-2020-15:00:06-PST-1.meta
116,115,2020-11-07 18:48:51.081869+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,ok,"The sooner we finish, the sooner we can cross the river on that boat! Let’s get to it!",86,encourage,,-0.6666666666666666,1.0,-1.0,-0.10634730232532263,0.6,0.0,model-11-07-2020-15:00:06-PST-1.meta
117,116,2020-11-07 18:53:25.192633+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,i need a hint,You’re doing a great job so far. Just keep trying!,74,encourage,,-0.6666666666666666,-1.0,-1.0,1.0,1.1,0.0,model-11-07-2020-15:00:06-PST-1.meta
118,117,2020-11-07 18:55:50.239193+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,i need a hint,I love a good challenge. Let’s regroup and think about this some more.,82,encourage,,-0.6666666666666666,-1.0,-1.0,1.0,1.5,0.0,model-11-07-2020-15:00:06-PST-1.meta
119,118,2020-11-07 18:56:16.985982+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,i need a hint,"This problem is tough, but I know that we can finish it if we think hard enough. Keep trying!",79,encourage,,-0.6666666666666666,-1.0,-1.0,1.0,1.5,0.0,model-11-07-2020-15:00:06-PST-1.meta
120,119,2020-11-07 19:06:51.473088+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,i need help,I’m so glad you’re here to help. I know you can solve this problem!,84,encourage,,-0.6666666666666666,0.45999999999999996,-1.0,1.0,2.5,0.0,model-11-07-2020-15:00:06-PST-1.meta
121,127,2020-11-07 19:07:49.860993+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,no i cant,:),51,nothing,,-0.6666666666666666,-1.0,0.3759999999999999,-0.036319758722910156,2.5,0.0,model-11-07-2020-15:00:06-PST-1.meta
122,122,2020-11-07 19:19:04.486772+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,spoil it,"You’ve just about got it. Don’t give up, yet!",81,encourage,,-0.6666666666666666,-1.0,-1.0,-0.057269703289677176,3.5,0.0,model-11-07-2020-15:00:06-PST-1.meta
123,123,2020-11-07 19:19:23.090272+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,do it,:),51,nothing,,-0.6666666666666666,-1.0,-1.0,1.0,3.5,0.0,model-11-07-2020-15:00:06-PST-1.meta
124,128,2020-11-07 19:19:35.396751+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,hihghujkjhgfgghjkhvgfghjnmbgfrtghnbgftgh,You’re super close! Let’s think about this a little more and try again.,75,encourage,,-0.6666666666666666,-1.0,-1.0,-1.0,3.5,0.0,model-11-07-2020-15:00:06-PST-1.meta
125,124,2020-11-07 19:20:58.303149+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,i cant do it!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,We need to solve this problem to stop the natural disaster. I believe in you!,80,encourage,,-0.6666666666666666,-1.0,-1.0,1.0,3.6,0.0,model-11-07-2020-15:00:06-PST-1.meta
126,129,2020-11-07 19:21:29.755058+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,tell me the anser,:),51,nothing,,-0.6666666666666666,-1.0,-1.0,-0.02340921417868025,3.6,0.0,model-11-07-2020-15:00:06-PST-1.meta
127,125,2020-11-07 19:22:12.252583+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,dont do it one more time,Hm... let's keep thinking!,88,question,,-0.6666666666666666,-1.0,-1.0,1.0,3.6,0.0,model-11-07-2020-15:00:06-PST-1.meta
128,126,2020-11-07 19:22:25.388401+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,ok!,You’re doing awesome! We’re so close to figuring this out and convincing the captain to let us board the boat.,72,encourage,,-0.6666666666666666,1.0,-1.0,-0.10634730232532263,3.6,0.0,model-11-07-2020-15:00:06-PST-1.meta
129,130,2020-11-07 19:33:23.274367+00:00,159,-1.0,-0.25,1,-0.9444444444444444,False,are you goinn to help me,You’re almost there. Just keep trying!,71,encourage,,-0.6666666666666666,-0.29799999999999993,-1.0,1.0,5.2,0.0,model-11-07-2020-15:00:06-PST-1.meta
